label,Major,Minor,Seventh,Ninth
0.0,0.40937264227447423,0.36953308315900346,0.5101067482707192,0.5141572936809543
0.0,0.34258273848608156,0.3350974694144764,0.5393362770216112,0.584546567158241
0.0,0.50286677581241,0.45830706534183185,0.538524567271614,0.4892650769635264
0.0,0.36968809783913553,0.38528208084936477,0.8304705586073035,0.7136831479796264
0.0,0.4491742057172239,0.3931171965893879,0.399156605371213,0.4149039466216468
0.0,0.3696751208042192,0.34885570440961533,0.41028747556988093,0.44893796940994185
0.0,0.33311436898931945,0.293204655369634,0.44669915507792657,0.4533282943468065
0.0,0.36162833191829113,0.3257314680114815,0.502279212077186,0.4874508930477109
0.0,0.4054514812174914,0.40728521581474264,0.659076367413924,0.678733621180027
0.0,0.30541704036640205,0.26855817990322933,0.4094311823146029,0.46971030219722637
0.0,0.46926378851041006,0.39545768742929926,0.4216212211959066,0.4376310368219992
0.0,0.31473903217653487,0.31305331982379575,0.7300836424018369,0.7039137421725208
0.0,0.24883435964521528,0.23977224393575342,0.47167418564074326,0.4819898639844453
0.0,0.23427095321963193,0.22264997362465966,0.4992127977560492,0.4412772309479999
0.0,0.3109611877500078,0.30748477278392355,0.5510884307973036,0.5725508294437618
0.0,0.2704731351879637,0.2527128378146849,0.47729805242768664,0.45941410326552
0.0,0.2841859520579284,0.2743864710509955,0.5022677604807626,0.47419522776551326
0.0,0.29556923704299337,0.2957873905340257,0.5660390682251631,0.5100413143622402
0.0,0.2108785428489317,0.227255348230552,0.4500739580572222,0.47111247865341077
0.0,0.21795086748132533,0.20045802861663053,0.509952064562639,0.4258831937890443
0.0,0.29638964085160435,0.28820993703405845,0.45605746884305765,0.48140011328722904
0.0,0.28310622095975674,0.2915804171505604,0.5478222797963419,0.6548691809173883
0.0,0.32829922267023953,0.33060594876650884,0.4955561565491209,0.5391804414282295
0.0,0.33323462183098473,0.3062507347550868,0.4083210305175009,0.45076658939384057
0.0,0.21598248028437894,0.19930158544542548,0.47312287081434784,0.5130241795754157
0.0,0.3327122355426323,0.29102612205344713,0.44201206417503325,0.5468991306752637
0.0,0.22263009706251707,0.24588855381091568,0.5113402985147106,0.5439741873999611
0.0,0.3479260058121452,0.32229675617533726,0.48286021002488966,0.48868189274300583
0.0,0.25731354512223614,0.24439283579446971,0.4599783592649113,0.4776479326169869
0.0,0.2328860389309852,0.2200504435392383,0.4794228971666284,0.5476529954296134
0.0,0.2441543983761834,0.23884736983305926,0.515180470629088,0.474928893208889
0.0,0.24023395071546688,0.22481250202079042,0.4225926404035798,0.5180048028707812
0.0,0.2650019473281856,0.23136538460035103,0.5877666010299971,0.5394019585757759
0.0,0.2821920829628616,0.2597249578160378,0.47873918113682284,0.5076578782762879
0.0,0.24167333053996967,0.22512368791061643,0.48824037648727825,0.4698126478632275
0.0,0.28460945440304064,0.28896433747619654,0.5003916194758404,0.5032348240030226
0.0,0.219223514665858,0.21087002918676606,0.471200106063215,0.4063096714285553
0.0,0.21651286084305518,0.19979291802612414,0.4773841253645803,0.4556634569653218
0.0,0.24316126983823835,0.23759500951793366,0.5330320783183682,0.5074210091147408
0.0,0.28164788976469823,0.24837605337160104,0.5132762933652216,0.5078372415738595
0.0,0.4930328431466543,0.47271467009501655,0.5886015335128876,0.5893629827704674
0.0,0.48688345741575656,0.45011735383122853,0.603437335784138,0.6331258443941615
0.0,0.4156547394937633,0.3840990586936468,0.5930330058078019,0.6231545414751207
0.0,0.4761578789498936,0.4586473769903537,0.5796322929027163,0.6048253990440192
0.0,0.43902184286317036,0.42331022015009107,0.6126864262080208,0.6402653762619397
0.0,0.41440578322153654,0.4061414778994537,0.6986537555651199,0.707138269211449
0.0,0.39393464689366586,0.39032192508489233,0.605946241441155,0.6938652352724516
0.0,0.4375726017672149,0.38360841903297593,0.49062973355597234,0.557307879415442
0.0,0.47706825873160474,0.4414215912817213,0.5950115094405102,0.5781366763308835
0.0,0.25480974404102896,0.25263520201404865,0.4768249704575972,0.5100229988948077
