label,Minor 9,Major 9,Minor 3,Major 3,Major 5,Minor 7,Major 7
0.0,0.3617089645694731,0.1524483291114812,0.14004376576274843,0.1798833248782192,0.22948931739625503,0.16244672704354332,0.3476600212271759
0.0,0.4125027817052181,0.172043785453023,0.12559881007016302,0.13308407914176823,0.20949865934431333,0.15985404285955362,0.3794822341620577
0.0,0.32400888650096,0.16525619046256643,0.16958065666593716,0.21414036713651535,0.28872640867589466,0.18638108552204952,0.3521434817495645
0.0,0.474550606223188,0.2391325417564384,0.1788049769923657,0.16321099398213645,0.20647710385699908,0.2788046476609103,0.5516659109463932
0.0,0.30259858973130316,0.11230535689034367,0.13306950010836205,0.18912650923619803,0.2600476964810258,0.12467517332882952,0.27448143204238346
0.0,0.3342514248924748,0.11468654451746707,0.1414230328302075,0.16224244922481135,0.20743267157940787,0.12454973549600763,0.2857377400738733
0.0,0.3437159342050618,0.10961236014174468,0.128486280002178,0.1683959936218634,0.16471837536745607,0.11296764129321303,0.33373151378471355
0.0,0.3633444822963037,0.1241064107514072,0.1175125824239615,0.1534094463307711,0.20821888558752003,0.13024061845771837,0.37203859361946756
0.0,0.4274552604380278,0.25127836074199916,0.19010713241569324,0.18827339781844202,0.21717808339904943,0.2378837533858419,0.421192614028082
0.0,0.350738893916371,0.11897140828085541,0.09928068546280922,0.13613954592598196,0.16927749444042012,0.11818925073384423,0.2912419315807587
0.0,0.3074086971340076,0.1302223396879916,0.10855043532781113,0.1823565364089219,0.28690725210148815,0.10036250297631132,0.3212587182195953
0.0,0.49279488935709304,0.2111188528154278,0.14058694598706084,0.1422726583398,0.1724663738367349,0.23633147261186233,0.4937521697899745
0.0,0.3685688765829286,0.11342098740151677,0.10826719063862386,0.11732930634808572,0.13150505329712955,0.11926469074139048,0.35240949489935275
0.0,0.3287783921915872,0.1124988387564127,0.09432684889698617,0.10594782849195843,0.1283231247276735,0.1191528140871548,0.38005998366889443
0.0,0.4078763156500208,0.164674513793741,0.14449540163558922,0.1479718166016735,0.16298937114833434,0.1575228183263452,0.3935656124709584
0.0,0.3552407962662682,0.10417330699925184,0.09034196016370304,0.10810225753698181,0.16237087765098188,0.11878067955024808,0.35851737287743857
